data_vencimento,preço,data_preco
2014-10-01,0.1139,dez_anos_atras
2015-01-01,0.1164,dez_anos_atras
2015-04-01,0.11869999999999999,dez_anos_atras
2015-07-01,0.12140000000000001,dez_anos_atras
2015-10-01,0.1232,dez_anos_atras
2016-01-01,0.125,dez_anos_atras
2016-04-01,0.127,dez_anos_atras
2016-07-01,0.12789999999999999,dez_anos_atras
2016-10-01,0.1286,dez_anos_atras
2017-01-01,0.1292,dez_anos_atras
2017-04-01,0.13,dez_anos_atras
2017-07-01,0.1305,dez_anos_atras
2017-10-01,0.1306,dez_anos_atras
2018-01-01,0.131,dez_anos_atras
2018-04-01,0.13140000000000002,dez_anos_atras
2018-07-01,0.1318,dez_anos_atras
2018-10-01,0.1322,dez_anos_atras
2019-01-01,0.1318,dez_anos_atras
2019-07-01,0.1318,dez_anos_atras
2020-01-01,0.1321,dez_anos_atras
2020-04-01,0.1319,dez_anos_atras
2020-07-01,0.1332,dez_anos_atras
2021-01-01,0.133,dez_anos_atras
2022-01-01,0.13369999999999999,dez_anos_atras
2023-01-01,0.1341,dez_anos_atras
2024-01-01,0.1351,dez_anos_atras
2025-01-01,0.13699999999999998,dez_anos_atras
