data_vencimento,preço,data_preco
2014-02-01,0.09935000000000001,dez_anos_atras
2014-03-01,0.1005,dez_anos_atras
2014-04-01,0.1014,dez_anos_atras
2014-07-01,0.1032,dez_anos_atras
2014-10-01,0.1047,dez_anos_atras
2015-01-01,0.1065,dez_anos_atras
2015-04-01,0.1091,dez_anos_atras
2015-07-01,0.1127,dez_anos_atras
2015-10-01,0.1152,dez_anos_atras
2016-01-01,0.1175,dez_anos_atras
2016-04-01,0.1189,dez_anos_atras
2016-07-01,0.1211,dez_anos_atras
2016-10-01,0.12179999999999999,dez_anos_atras
2017-01-01,0.1231,dez_anos_atras
2017-04-01,0.124,dez_anos_atras
2017-07-01,0.1249,dez_anos_atras
2017-10-01,0.12560000000000002,dez_anos_atras
2018-01-01,0.1264,dez_anos_atras
2018-04-01,0.1255,dez_anos_atras
2018-07-01,0.1276,dez_anos_atras
2018-10-01,0.1268,dez_anos_atras
2019-01-01,0.1284,dez_anos_atras
2019-07-01,0.1285,dez_anos_atras
2020-01-01,0.1295,dez_anos_atras
2020-07-01,0.12990000000000002,dez_anos_atras
2021-01-01,0.12990000000000002,dez_anos_atras
2022-01-01,0.1309,dez_anos_atras
2023-01-01,0.1315,dez_anos_atras
